algo,run,env_step,explained_variance,mean_episode_reward,steps_per_sec,entropy,ghi_chu
PPO,ppo_v2,141312,0.904557247251912,3395.532033729326,11.90512392729651,-1.7055006459355355,"reward raw, penalty 1000"
PPO,ppo_v2,142336,0.7244116286895119,3899.156129072157,12.002327211679738,-1.7059848397970199,"reward raw, penalty 1000"
PPO,ppo_v2,143360,0.7733648486959682,4332.984415331917,12.032384826242048,-1.7059324502944946,"reward raw, penalty 1000"
PPO,ppo_v2,144384,0.38112074001699014,4641.289819174153,11.9639895712549,-1.706124722957611,"reward raw, penalty 1000"
PPO,ppo_v2,145408,0.880981434535053,4736.412382477513,11.946760424184154,-1.7060677617788316,"reward raw, penalty 1000"
PPO,ppo_v2,146432,0.8951639600945901,5048.671471272143,12.010015383283056,-1.706333526968956,"reward raw, penalty 1000"
PPO,ppo_v2,147456,0.9566262158405,5429.588601807779,12.002154077505807,-1.7068464770913123,"reward raw, penalty 1000"
PPO,ppo_v2,148480,0.9381164111236938,5427.285184966232,11.736590964322492,-1.707027840614319,"reward raw, penalty 1000"
PPO,ppo_v2,149504,0.771929451618392,5072.491650000918,11.8946526214056,-1.7076419189572334,"reward raw, penalty 1000"
PPO,ppo_v2,150528,0.7336857162435046,4641.579536697913,12.131013343205126,-1.7075552985072135,"reward raw, penalty 1000"
PPO,ppo_v2,151552,0.9047691919154033,4375.73274927696,11.960186638699536,-1.707463875412941,"reward raw, penalty 1000"
PPO,ppo_v2,152576,0.9015457370101768,2925.048288213587,11.776528215098393,-1.7081535905599594,"reward raw, penalty 1000"
PPO,ppo_v2,153600,0.81936560869233,3275.526220932246,11.893433778221665,-1.7086806878447534,"reward raw, penalty 1000"
PPO,ppo_v2,154624,0.8364978997600949,3622.3528521029575,12.037464799466305,-1.710584057867527,"reward raw, penalty 1000"
PPO,ppo_v2,155648,0.5514229033540293,3588.349000780729,12.01804481056286,-1.7123179748654365,"reward raw, penalty 1000"
PPO,ppo_v2,156672,0.7883299771304724,3864.823555671428,12.114268244140868,-1.713246537744999,"reward raw, penalty 1000"
