algo,run,env_step,town,terminate_reason,episode_len,episode_reward,mean_abs_lane_offset_road,junction_steps,ghi_chu
PPO,ppo_v1,65536,,off_lane,77,278.84938787188185,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,65536,,time_limit,500,6335.71542500709,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,66560,,collision,160,846.1454311082757,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,66560,,time_limit,500,6332.084444577164,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,66560,,collision,229,805.3295236767248,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,67584,,time_limit,500,5591.023109210149,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,67584,,time_limit,500,6414.585439444955,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,68608,,collision,378,4663.158971005311,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,68608,,time_limit,500,6173.139906762195,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,68608,,collision,60,51.932990733216286,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,69632,,collision,292,973.7615415809082,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,69632,,collision,344,2612.489237755174,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,69632,,collision,432,4678.213829504732,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,69632,,collision,68,19.467804213915713,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,70656,,collision,175,1051.3561002867116,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,70656,,collision,79,166.9709323583241,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,70656,,time_limit,500,5783.314090575198,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,70656,,collision,337,3304.247421809343,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,71680,,time_limit,500,3512.619552677716,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,71680,,time_limit,500,4981.3374223337905,,,"reward raw, penalty 300, chi Town04"
PPO,ppo_v1,71680,,off_lane,90,425.7363177692132,,,"reward raw, penalty 300, chi Town04"
